Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Action Stock Horse Foal,225,Action American Buckskin Stock Horse Foal,"buckskin, solid face, black lower legs, black muzzle shading",1987-1988,
Action Stock Horse Foal,236,Chestnut Stock Horse Foal,"chestnut with lighter mane and tail, left hind sock, solid face",1984-1986,
Action Stock Horse Foal,237,Bay Pinto Stock Horse Foal(1984-1986)Action American Paint Horse Foal(1987-1988),"bay pinto, solid face, black leg joints, four socks",1984-1988,
Action Stock Horse Foal,237,Bay Pinto Stock Horse Foal,"bay pinto, black lower legs, black hooves, no socks",1984 or 1985,Possible test pieces or touch ups by Marney Walerius(<12 probably made)
Action Stock Horse Foal,238,Appaloosa Stock Horse Foal(1984-1986)Action American Appaloosa Stock Horse Foal(1987-1988),"grey blanket Appaloosa with airbrushed blanket, black or grey splatter spots, solid face, solid legs",1984-1988,
Action Stock Horse Foal,238,Appaloosa Stock Horse Foal(1984-1986)Action American Appaloosa Stock Horse Foal(1987-1988),"semi-glossy grey blanket, black points",1984-1988,Unusual color variation
Action Stock Horse Foal,724,"Monka Tonga, ""Big Medicine""","palomino blanket Appaloosa, left front and both hind socks, stripe, Native American symbols",Jan-Jun 1998,Collectors' EditionWith hang tag
Action Stock Horse Foal,725,"Wakanda O'kie ""Talks to the Gods""","buckskin blanket Appaloosa, left front and two hind socks, stripe, Native American symbols",Jul-Dec 1998,Collectors' EditionWith hang tag
Action Stock Horse Foal,763,Appaloosa Foal,"chestnut blanket Appaloosa, right shoulder patch, stripe, left front and right hind socks",1999-2001,
Action Stock Horse Foal,810,Action Appaloosa Foal,"chestnut Leopard Appaloosa, splatter spots, grey leg joints and muzzle.  Some with pink accents inside their nostrils.",1989-1993,
Action Stock Horse Foal,891,"""Sunny"" Action Foal","yellow dun, solid face, grey mane and tail, charcoal shading on cannons, body-colored lower legs.  Dorsal stripe, some have leg barring.",1994-1995,Color variations shown.
Action Stock Horse Foal,934,"""Cricket"" Quarter Horse Foal","liver chestnut, stripe, darker mane and tail, dorsal stripe, right front and hind socks. Some with additional small left hind sock.",1995-1996,
Action Stock Horse Foal,1156,"Moonbeam, Grullo Foal","grullo, shaded tail, faint dorsal stripe, black leg joints, right front and left hind socks, blaze covering muzzle, pink muzzle, eye whites.",2005-2008,
Action Stock Horse Foal,1169,"Appaloosa Foal, Leopard","black Leopard Appaloosa, black eartips, pink body shading, striped hooves",2002-2004,
Action Stock Horse Foal,1367,Fizz,"red roan, blaze covering muzzle, pink muzzle, left hind sock",2008-2010,
Action Stock Horse Foal,1397,Fun Foals Collector's Event,"chestnut pinto, two-tone mane, stripe, four stockings",2009,Treasure HuntJumping Horse and Wixom Prize
